一    yī: one
够    gòu: to declare, to announce, cloth
劳    láo: work
轻    qīng: light
经    jīng: pass, through, scripture, classics
重    zhòng / chóng: heavy, serious / repeat pass, through, scripture, classics
量    liáng / liàng: to measure / quantity
跑    pǎo: to run
容    róng: appearance / hold, to contain
易    yì: change, easy, simple
需    xū: require, to need, to want, necessity
接    jiē: to meet, to pick (someone) up, receive
侯    hòu: wait, time
参    cān / shēn: join, take part in, refer, consult / ginseng
层    céng: layer
导    dǎo: lead
步    bù: step, walk
低    dī: low
部    bù: part, unit, section
错    cuò: wrong, mistake, fault
发    fà: send, hair
备    bèi: prepare, get ready
结    jiē / jié: knit, marry / bear, form
紧    jǐn: tight, urgent
面    miàn: face, surface
原    yuán: original, primary
越    yuè: to exceed, get over
总    zǒng: assemble, put together, chief, head, always
组    zǔ: organize, group, set, series
治    zhì: rule, govern, cure, treat
帮    bāng: help, gang
场    chǎng: open field
变    biàn: change
将    jiāng / jiàng: be going to, check (in Chinese chess) / general, commander
府    fǔ: government office, your home
离    lí: to leave, apart
例    lì: examples, instances
流    liú: to flow, to spread, to circulate, to move
社    shè: agency, society, group
神    shén: god, spirit
声    shēng: sound, voice, tone
式    shì: type, pattern, style
虽    suī: although, even though
算    suàn: calculate
务    wù: affair, business, must
物    wù: thing, object, matter
实    shí: real, true, honest, really, solid
商    shāng: trade, commerce, discuss, business
查    chá: inspect, check
按    àn: to press, push down, according to
带    dài: belt, type, bring, take
省    shěng / xǐng: province, economize, save / examine, be aware
所    suǒ: place
特    tè: special
通    tōng: open, through, understand, know
鱼    yú: fish
制    zhì: make, manufacture, system
指    zhǐ: finger, point at
建    jiàn: build, erect
象    xiàng: elephant, imitate
数    shù / shǔ: number / count
纸    zhǐ: paper
展    zhǎn: spread out, exhibition
